address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma,ema,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,187.06903865273705,3568,2024-03-25,187.06903865273705,187.06903865273705,187.06903865273705,187.06903865273705,187.06903865273705,187.06903865273705,22.1906,65.899,181.1983,182.2511,3.0112,2.5094,190.3791,172.0175,-31.8947,0.0135,12290.11868510749,33.8198,-0.7372,65.9004,34.0996,31.8008,22.5554,14.964,0
So11111111111111111111111111111111111111112,185.73760084388917,3567,2024-03-25,185.73760084388917,185.73760084388917,185.73760084388917,185.73760084388917,185.73760084388917,185.73760084388917,-36.7844,63.5188,180.6742,181.744,2.9598,2.3839,189.6491,171.6993,-70.4825,0.9024,12103.049646454754,25.5111,-2.1973,63.5224,36.4776,27.0449,21.8443,14.6108,0
So11111111111111111111111111111111111111112,187.94466386252984,3566,2024-03-25,187.94466386252984,187.94466386252984,187.94466386252984,187.94466386252984,187.94466386252984,187.94466386252984,32.4341,71.1594,180.1304,181.3236,2.9868,2.2399,189.1302,171.1306,-0.0,1.3353,12288.787247298644,100.0,0.3388,71.1609,28.8391,42.3219,21.4442,14.3723,0
So11111111111111111111111111111111111111112,185.99861571466613,3565,2024-03-25,185.99861571466613,185.99861571466613,185.99861571466613,185.99861571466613,185.99861571466613,185.99861571466613,13.3219,68.0114,179.4671,180.6266,2.7531,2.0532,188.0094,170.9248,-0.0,0.9578,12100.842583436113,100.0,-0.8751,68.0115,31.9885,36.023,19.8382,13.6576,0
So11111111111111111111111111111111111111112,185.199301305857,3564,2024-03-25,185.199301305857,185.199301305857,185.199301305857,185.199301305857,185.199301305857,185.199301305857,6.4333,66.6219,178.8737,180.0612,2.6128,1.8782,187.1638,170.5836,-0.0,1.2968,11914.843967721446,20.7879,-0.9278,66.6213,33.3787,33.2425,18.5933,13.1693,0
So11111111111111111111111111111111111111112,184.81330231914384,3563,2024-03-25,184.81330231914384,184.81330231914384,184.81330231914384,184.81330231914384,184.81330231914384,184.81330231914384,9.791,65.9593,178.402,179.5203,2.4772,1.6946,186.261,170.543,-0.0,1.0758,11729.64466641559,-2.3838,-0.8399,65.9578,34.0422,31.9156,17.4664,12.581,0
So11111111111111111111111111111111111111112,184.22584311858546,3562,2024-03-25,184.22584311858546,184.22584311858546,184.22584311858546,184.22584311858546,184.22584311858546,184.22584311858546,20.951,64.976,177.8335,178.9632,2.3074,1.4989,185.3945,170.2725,-20.7827,0.1196,11544.831364096446,23.7816,-0.9659,64.974,35.026,29.9479,16.3549,11.8475,0
So11111111111111111111111111111111111111112,182.96878086109382,3561,2024-03-25,182.96878086109382,182.96878086109382,182.96878086109382,182.96878086109382,182.96878086109382,182.96878086109382,27.1458,62.8442,177.2582,178.4092,2.1168,1.2968,184.5315,169.9849,-55.2899,-0.8686,11360.60552097786,35.9809,-1.1222,62.84,37.16,25.68,15.3093,11.4723,1
So11111111111111111111111111111111111111112,181.34003554961092,3560,2024-03-25,181.34003554961092,181.34003554961092,181.34003554961092,181.34003554961092,181.34003554961092,181.34003554961092,-42.1814,59.9028,176.7805,177.9292,1.9707,1.0918,183.7389,169.8221,-59.6315,0.4014,11177.636740116766,41.6692,-2.3963,59.9007,40.0993,19.8014,14.5115,10.8913,0
So11111111111111111111111111111111111111112,183.87092087855208,3559,2024-03-25,183.87092087855208,183.87092087855208,183.87092087855208,183.87092087855208,183.87092087855208,183.87092087855208,-18.5336,67.6196,176.3534,177.5702,1.9216,0.8721,183.1875,169.5193,-12.5686,3.2638,11358.976775666377,74.7949,0.1706,67.618,32.382,35.236,14.1046,10.8699,1
So11111111111111111111111111111111111111112,184.98293727998976,3558,2024-03-25,184.98293727998976,184.98293727998976,184.98293727998976,184.98293727998976,184.98293727998976,184.98293727998976,50.5068,71.3711,175.7498,176.907,1.5731,0.6098,181.9219,169.5777,-0.0,3.819,11542.847696544928,97.0945,1.7594,71.3694,28.6306,42.7388,12.4791,10.2952,0
So11111111111111111111111111111111111111112,181.9525306128053,3557,2024-03-25,181.9525306128053,181.9525306128053,181.9525306128053,181.9525306128053,181.9525306128053,181.9525306128053,51.3103,66.697,175.2212,176.0569,0.9923,0.3689,179.7251,170.7173,-0.0,2.9539,11357.864759264938,91.9084,-0.379,66.6935,33.3065,33.3869,10.1515,9.3778,0
So11111111111111111111111111111111111111112,178.87391053109516,3556,2024-03-25,178.87391053109516,178.87391053109516,178.87391053109516,178.87391053109516,178.87391053109516,178.87391053109516,45.6428,60.6291,174.9225,175.4363,0.545,0.2131,178.2362,171.6088,-0.0,1.5932,11175.912228652132,35.6742,-2.3187,60.6274,39.3726,21.2549,8.3641,8.5123,0
So11111111111111111111111111111111111111112,176.1353408749297,3555,2024-03-25,176.1353408749297,176.1353408749297,176.1353408749297,176.1353408749297,176.1353408749297,176.1353408749297,-2.7298,53.6567,174.7808,175.0744,0.2797,0.1301,177.6141,171.9475,-7.2368,0.8319,10997.038318121036,-13.4118,-4.2171,53.6555,46.3445,7.3109,7.3725,8.1298,0
